kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
132,4.358333,-0.605552,1.799862,0.750000,0.991646,0.000000,0.000000,0.128992,0.244900,1.468183,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
133,4.391666,-0.342404,1.867915,0.750000,0.992445,0.000000,0.000000,0.122692,1.438680,1.774182,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
134,4.420833,-0.116534,1.923489,0.750000,0.993155,0.000000,0.000000,0.116804,2.460620,1.886793,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
135,4.454166,0.135931,1.981996,0.750000,0.993972,0.000000,0.000000,0.109637,3.592495,1.821005,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
136,4.487499,0.382345,2.035333,0.750000,0.994779,0.000000,0.000000,0.102052,4.679509,1.560429,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
137,4.520833,0.622417,2.083452,0.750000,0.995565,0.000000,0.000000,0.094078,5.713850,1.113831,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
138,4.554166,0.855531,2.126102,0.750000,0.996318,0.000000,0.000000,0.085729,6.684870,0.489012,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
139,4.587499,1.081712,2.163573,0.750000,0.997027,0.000000,0.000000,0.077055,7.588229,-0.283801,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
140,4.620833,1.300698,2.195951,0.750000,0.997679,0.000000,0.000000,0.068087,8.417664,-1.178610,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
141,4.654166,1.511871,2.223132,0.750000,0.998267,0.000000,0.000000,0.058851,9.163423,-2.167925,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
142,4.687499,1.715345,2.245524,0.750000,0.998779,0.000000,0.000000,0.049394,9.824096,-3.212365,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
143,4.720833,1.910911,2.263330,0.750000,0.999210,0.000000,0.000000,0.039752,10.395462,-4.276792,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
144,4.754166,2.097987,2.276589,0.750000,0.999551,0.000000,0.000000,0.029959,10.869445,-5.322586,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
145,4.787499,2.276791,2.285787,0.750000,0.999799,0.000000,0.000000,0.020059,11.247671,-6.313472,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
146,4.820833,2.447192,2.291211,0.750000,0.999949,0.000000,0.000000,0.010091,11.528302,-7.216114,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
147,4.849999,2.588951,2.292971,0.750000,0.999999,0.000000,0.000000,0.001343,11.688714,-7.903100,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
148,4.883333,2.743085,2.292103,0.750000,0.999963,0.000000,0.000000,-0.008645,11.781251,-8.554679,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
