kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
74,2.441666,-92.255003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-92.255003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
75,2.475000,-91.995003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-91.995003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
76,2.508333,-91.735003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-91.735003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
77,2.541666,-91.475003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-91.475003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
78,2.575000,-91.215003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-91.215003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
79,2.608333,-90.955003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-90.955003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
80,2.641666,-90.695004,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-90.695004,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
81,2.675000,-90.435004,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-90.435004,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
82,2.708333,-90.175004,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-90.175004,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
83,2.741666,-89.915004,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-89.915004,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
84,2.770833,-89.687504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-89.687504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
85,2.804166,-89.427504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-89.427504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
86,2.837500,-89.167504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-89.167504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
87,2.870833,-88.907504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-88.907504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
88,2.904166,-88.647504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-88.647504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
89,2.937500,-88.387504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-88.387504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
90,2.970833,-88.127504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-88.127504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
91,3.004166,-87.867504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-87.867504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
92,3.037500,-87.607504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-87.607504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
93,3.070833,-87.347504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-87.347504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
94,3.104166,-87.087504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-87.087504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
95,3.137499,-86.827504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-86.827504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
96,3.170833,-86.567504,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-86.567504,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
97,3.199999,-86.340004,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-86.340004,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
98,3.233333,-86.080004,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-86.080004,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
99,3.266666,-85.820004,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-85.820004,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
