kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
78,2.575000,202.416662,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,202.416662,155.000000,60.281248,0.500000,-0.500000,0.500000,0.500000,4.167
79,2.608333,202.749996,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,202.749996,155.000000,60.406248,0.500000,-0.500000,0.500000,0.500000,0.000
80,2.641666,203.083329,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,203.083329,155.000000,60.531248,0.500000,-0.500000,0.500000,0.500000,4.167
81,2.675000,203.416662,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,203.416662,155.000000,60.656248,0.500000,-0.500000,0.500000,0.500000,4.167
82,2.708333,203.749995,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,203.749995,155.000000,60.781248,0.500000,-0.500000,0.500000,0.500000,0.000
83,2.741666,204.083329,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,204.083329,155.000000,60.906248,0.500000,-0.500000,0.500000,0.500000,4.167
84,2.770833,204.374995,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,204.374995,155.000000,61.015623,0.500000,-0.500000,0.500000,0.500000,0.000
85,2.804166,204.708329,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,204.708329,155.000000,61.140623,0.500000,-0.500000,0.500000,0.500000,4.167
86,2.837500,205.041662,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,205.041662,155.000000,61.265623,0.500000,-0.500000,0.500000,0.500000,4.167
87,2.870833,205.374995,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,205.374995,155.000000,61.390623,0.500000,-0.500000,0.500000,0.500000,0.000
88,2.904166,205.708328,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,205.708328,155.000000,61.515623,0.500000,-0.500000,0.500000,0.500000,4.167
89,2.937500,206.041662,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,206.041662,155.000000,61.640623,0.500000,-0.500000,0.500000,0.500000,4.167
90,2.970833,206.374995,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,206.374995,155.000000,61.765623,0.500000,-0.500000,0.500000,0.500000,0.000
91,3.004166,206.708328,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,206.708328,155.000000,61.890623,0.500000,-0.500000,0.500000,0.500000,4.167
92,3.037500,207.041662,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,207.041662,155.000000,62.015623,0.500000,-0.500000,0.500000,0.500000,4.167
93,3.070833,207.374995,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,207.374995,155.000000,62.140623,0.500000,-0.500000,0.500000,0.500000,0.000
94,3.104166,207.708328,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,207.708328,155.000000,62.265623,0.500000,-0.500000,0.500000,0.500000,4.167
95,3.137499,208.041661,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,208.041661,155.000000,62.390623,0.500000,-0.500000,0.500000,0.500000,4.167
96,3.170833,208.374995,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,208.374995,155.000000,62.515623,0.500000,-0.500000,0.500000,0.500000,0.000
